tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt0064240	movie	Django the Bastard	Django il bastardo	0	1969	\N	98	Action,Drama,Horror
tt0061690	tvMovie	Frühling in Baden-Baden	Frühling in Baden-Baden	0	1967	\N	90	Comedy,Music
tt0187380	movie	Padavoyi Bharatheeyuda	Padavoyi Bharatheeyuda	0	1976	\N	\N	\N
tt0220636	tvMovie	Les maîtresses de mon mari	Les maîtresses de mon mari	0	1995	\N	92	\N
tt0232755	movie	Taj Aur Talwar	Taj Aur Talwar	0	1956	\N	\N	\N
tt0235436	movie	Gowri	Gowri	0	1992	\N	\N	\N
tt0206812	short	Honeyland Road	Honeyland Road	0	1973	\N	6	Short
tt0103729	video	Attack of the Killer Refrigerator	Attack of the Killer Refrigerator	0	1990	\N	15	Comedy,Horror,Short
tt0227508	short	Ski!	Ski!	0	1964	\N	15	Documentary,Short,Sport
tt0190790	tvMovie	She's with Me	She's with Me	0	1982	\N	30	Comedy
tt0250099	short	Vigilance	Vigilance	0	1999	\N	9	Short
tt0058726	movie	Vivir un largo invierno	Vivir un largo invierno	0	1964	\N	91	\N
tt0243862	movie	Italian for Beginners	Italiensk for begyndere	0	2000	\N	112	Comedy,Drama,Romance
tt0022284	movie	Præsten i Vejlby	Præsten i Vejlby	0	1931	\N	101	Drama
tt0245954	movie	Hoysala and Chalyukan Architecture of Karnataka	Hoysala and Chalyukan Architecture of Karnataka	0	1984	\N	\N	Documentary
tt0101013	movie	Promising Miss Bowie	Zhu fu	0	1990	\N	98	Drama
tt0086408	movie	Huang di bao zhong	Huang di bao zhong	0	1983	\N	90	Comedy,Romance
tt0200172	videoGame	Star Wars: Episode I - Racer	Star Wars: Episode I - Racer	0	1999	\N	\N	Action,Adventure,Sci-Fi
tt0249601	tvMovie	Die Irre von Chaillot	Die Irre von Chaillot	0	1959	\N	145	Drama
tt0148107	video	The Enema 3	The Enema 3	1	1991	\N	\N	Adult
